image_name,x,y
0ABUXDM239JA.jpg,315,241
1957CSOKEDJF.jpg,318,44
2E29NL0UCZF7.jpg,140,49
2GQZCKOJ3XAL.jpg,327,100
2JXZXK0GSAK6.jpg,200,112
2ODU2ASW6XJU.jpg,383,231
4CMJ703ABH1S.jpg,308,150
57YCNU5QCPUQ.jpg,202,136
6M2DJKKJK6ZA.jpg,332,154
6M4U23NFGXAH.jpg,140,104
8BV01052V08O.jpg,132,45
8M5MBZ44D68S.jpg,316,72
8RA872J4EWEC.jpg,335,208
8VJKSA9KT86V.jpg,194,211
99SGGZVK1Z4Y.jpg,141,38
9MBQ4OMJ5DOC.jpg,109,86
A141844W920C.jpg,155,72
A3O937VFCBE6.jpg,310,85
AGWYD9A788DB.jpg,370,169
AJGYMMNW43LJ.jpg,318,78
BFJIZQ067DIF.jpg,208,95
BGIQS0Y4MGW0.jpg,404,281
BRG44WA4I4CR.jpg,327,130
CSGL4HMYQBCG.jpg,314,102
DS8IS9MD1BKP.jpg,305,46
fejan-table-outdoor-white__1090056_ph182906_s5.jpg,655,651
FI5PREKPEH9G.jpg,281,89
G2JDEJ3NENVS.jpg,254,102
GYJ3YH63WZC1.jpg,347,109
GZOG565B4RKZ.jpg,440,91
I2LD0J8RQK0B.jpg,221,45
IC2SA9Y6FIZT.jpg,252,283
idanaes-desk-brown__1192107_ph191859_s5.jpg,321,660
IJ2HP4J3LOF5.jpg,288,64
IQC9NDZNF56K.jpg,325,83
IYX2QPXA260Z.jpg,275,306
KIZZYKX53RN7.jpg,322,127
krokholmen-coffee-table-outdoor-beige__0979042_ph175831_s5.jpg,361,727
laeckoe-table-2-chairs-outdoor-grey__0735585_pe740066_s5.jpg,463,236
LPA1ONUEC8N5.jpg,122,24
MK1BE3YM3N6Z.jpg,292,62
N7IRJ2JDU2WK.jpg,151,59
NGPPCQH3OQ1Q.jpg,354,62
OFUG48AJHATS.jpg,365,133
OKEV5J3AZT17.jpg,312,77
PCEWL558TSN8.jpg,150,74
PUEUUP6BWBCL.jpg,233,164
Q1894IZO3LNH.jpg,198,76
RHLMCNCLG503.jpg,305,45
sundsoe-table-bright-orange-outdoor__1432146_ph201914_s5.jpg,514,649
TP3K3WWF0JHR.jpg,216,46
UMXKFKVXFJYW.jpg,232,124
WKJZ1AKZQ2RB.jpg,328,182
X3LZ88L98O6X.jpg,175,58
XVJRQK5N0D4M.jpg,254,116
XW3ASJXGO4CO.jpg,312,16
YS1UQZ3V16NW.jpg,230,188
